bucket	date	oca_title	best_ours	score
present	01-18	Saint Cyril, Archbishop of Alexandria	Ss Athanasius the Great and Cyril of Alexandria	1.0
probable	01-18	Venerable Athanasius, Abbot of Syandemsk, Vologda	Ss Athanasius the Great and Cyril of Alexandria	0.33
probable	01-18	Righteous Athanasius of Novolotsk	Ss Athanasius the Great and Cyril of Alexandria	0.5
missing	01-18	Venerable Marcian of Cyrrhus in Syria		0.0
probable	01-18	Venerable Schemamonk Cyril and Schemanun Maria, the parents of Saint Sergius of Radonezh	Ss Athanasius the Great and Cyril of Alexandria	0.33
missing	01-18	Saint Joachim I, Patriarch of Trnovo and Bulgaria		0.0
missing	01-18	Saint Maximus, Archbishop of Serbia		0.0
missing	01-18	Saint Maximus the New		0.0
missing	01-18	Saint Ephraim the Lesser		0.0
missing	01-18	Venerable Hieromonk Alexei of Teklati		0.0
probable	01-19	Venerable Macarius the Great of Egypt	Ven. Macarius the Great	0.5
probable	01-19	Venerable Macarius of Alexandria	Ven. Macarius the Great	0.5
present	01-19	Saint Mark, Archbishop of Ephesus	Our Holy Father Mark Eugenikos, Metropolitan of Ephesus and Confessor of the Orthodox Faith (1443)	1.0
probable	01-19	Venerable Macarius the Faster, of the Kiev Near Caves	Ven. Macarius the Great	0.5
probable	01-19	Venerable Macarius the Deacon of the Kiev Caves	Ven. Macarius the Great	0.5
elsewhere	01-19	Righteous Theodore of Novgorod the Fool-For-Christ	07-27  Nicholas of Novgorod the fool-for-Christ	0.8
missing	01-19	Opening of the Relics of Venerable Savva of Storozhev, or Zvenigorod		0.0
probable	01-19	Venerable Makarios the Roman of Novgorod	Ven. Macarius the Great	0.5
missing	01-19	Virgin Martyr Euphrasia of Nicomedia		0.0
missing	01-19	Saint Arsenius, Archbishop of Kerkyra		0.0
missing	01-19	Saint Anthony, founder of Monasticism in Georgia		0.0
missing	01-19	Commemoration of the miracle of Saint Basil the Great at Nicaea		0.0
missing	01-19	The transfer of the relics of Saint Gregory the Theologian		0.0
present	01-20	Venerable Euthymius the Great	Ven. Euthymius the Great	1.0
probable	01-20	Venerable Euthymius the Schemamonk	Ven. Euthymius the Great	0.5
elsewhere	01-20	Saint Laurence, Recluse of the Kiev Far Caves	01-29  St Laurence, Recluse of the Kiev Caves	1.0
probable	01-20	Venerable Euthymius of Syanzhemsk, Vologda	Ven. Euthymius the Great	0.5
present	01-20	Martyrs Innas, Pinnas, and Rimmas, disciples of the Apostle Andrew, in Scythia	Holy Martyrs Inna, Pinna and Rimma (Nirra) (1st – 2nd c.)	0.75
missing	01-20	Martyrs Bassus, Eusebius, Euthychius, and Basileides, at Nicomedia		0.0
probable	01-20	Saint Euthymios, Patriarch of Trnovo	Ven. Euthymius the Great	0.5
missing	01-20	New Martyr Zachariah		0.0
present	01-20	Saint Euthymius the Confessor	Ven. Euthymius the Great	1.0
present	01-21	Venerable Maximus the Confessor	Ven. Maximus the Confessor	1.0
present	01-21	Martyr Neophytus of Nicea	Neophytos the Martyr of Nicaea	1.0
missing	01-21	Martyrs Eugene, Candidus, Valerian, and Aquila, at Trebizond		0.0
present	01-21	Virgin Martyr Agnes of Rome	Holy Martyr Agnes of Rome (ca. 304)	1.0
probable	01-21	Martyr Anastasius, disciple of Venerable Maximus the Confessor	Ven. Maximus the Confessor	0.5
probable	01-21	Venerable Neóphytos of Vatopaidi Monastery on Mount Athos	Neophytos the Martyr of Nicaea	0.5
present	01-21	Venerable Maximus the Greek	Our Holy Father Maximos the Greek (1556)	1.0
missing	01-21	Icon of the Mother of God “Comfort” or “Consolation”		0.0
missing	01-21	Icon of the Mother of God “Stabbed”		0.0
missing	01-21	Icon of the Mother of God “Xenophon Hodegetria”		0.0
missing	01-21	Martyr Fructuosis, Bishop of Tarragona, Spain, and his deacons Augurius and Eulogius		0.0
missing	01-21	Saint George (John) of Georgia		0.0
present	01-22	Apostle Timothy of the Seventy	Apostle Timothy of the Seventy	1.0
probable	01-22	Monastic Martyr Anastasius the Persian	Holy Martyr Anastasius of Persia (628)	0.5
probable	01-22	Monastic Martyr Anastasius the Deacon of the Kiev Near Caves	Holy Martyr Anastasius of Persia (628)	0.5
missing	01-22	Venerable Macarius of Zhabyn the Wonderworker		0.0
missing	01-22	377 Martyred Companions in Bulgaria		0.0
missing	01-22	Saint Brihtwald of Wilton		0.0
missing	01-22	Saint Euthymius		0.0
present	01-23	Hieromartyr Clement, Bishop of Ancyra, and Martyr Agathangelus	Hieromartyr Clement and Martyr Agathangel	1.0
missing	01-23	Venerable Gennadius of Kostroma		0.0
missing	01-23	Translation of the relics of Saint Theoctistus, Archbishop of Novgorod		0.0
missing	01-23	Venerable Mausimas the Syrian		0.0
missing	01-23	Saint Salamanēs the Silent of the Euphrates		0.0
missing	01-23	Saint Paulinus the Merciful, Bishop of Nola		0.0
missing	01-23	Commemoration of the Holy Fathers of the Sixth Ecumenical Council		0.0
missing	01-23	Synaxis of the Saints of Kostroma		0.0
probable	01-24	Venerable Xenia of Rome, and her two female servants	Ven. Xenia of Rome	0.67
missing	01-24	Saint Gerasimus, Bishop of Perm		0.0
missing	01-24	Martyr John of Kazan		0.0
present	01-24	Martyr Babylas of Sicily, and his two disciples: Timothy and Agapius	Vavylas the Holy Martyr	1.0
missing	01-24	Saint Macedonius the Hermit of Syria		0.0
missing	01-24	Uncovering of the relics of Saint Anastasios the Persian		0.0
missing	01-24	Venerable Dionysius of Olympus		0.0
missing	01-24	Venerable Philotheus, founder of Philotheou Monastery, Mount Athos		0.0
present	01-24	Blessed Xenia of St. Petersburg	Bl. Xenia of St Petersburg	1.0
missing	01-24	Martyrs Theodotion, Paul, and Pausirios		0.0
missing	01-24	Saint Philon, Bishop of Kolpasteia, Crete		0.0
missing	01-24	Hieromartyr Philippicus and Martyr Barsimos		0.0
missing	01-24	Saint Macarius		0.0
present	01-25	Sunday of Zacchaeus	Sunday of Zacchaeus	1.0
missing	01-25	New Martyrs and Confessors of Russia		0.0
present	01-25	Saint Gregory the Theologian, Archbishop of Constantinople	St Gregory the Theologian	1.0
missing	01-25	Saint Moses, Archbishop of Novgorod		0.0
missing	01-25	Martyr Felicitas of Rome, and her seven sons		0.0
missing	01-25	Saint Publius the Ascetic of Syria		0.0
missing	01-25	Saint Mares the Singer in Syria		0.0
missing	01-25	Translation to Moscow of the Icon of the Mother of God “Assuage my Sorrow”		0.0
missing	01-25	Icon of the Mother of God “The Unexpected Joy”		0.0
elsewhere	01-25	Saint Vladimir, Metropolitan of Kiev and Gallich	12-06  St Maximus, Metropolitan of Kiev & Vladimir (1305)	0.75
missing	01-25	New Martyr Auxentius of Constantinople		0.0
missing	01-25	Venerable Anatole I of Optina		0.0
missing	01-25	Saint Dositheus of Tbilisi		0.0
missing	01-25	Saint Gabriel, Bishop of Imereti		0.0
missing	01-25	Saint Vetranion of Tomis		0.0
present	01-26	Venerable Xenophon, his wife, Mary, and their two sons, Arcadius and John, of Constantinople	Ven. Xenophon, Mary, and their sons Arcadius and John	0.86
missing	01-26	Translation of the relics of Venerable Theodore, Abbot of Studion		0.0
probable	01-26	Saint Xenophon of Robeika	Ven. Xenophon, Mary, and their sons Arcadius and John	0.5
missing	01-26	Martyrs Ananias the Presbyter, Peter, and seven soldiers, in Phoenicia		0.0
present	01-26	Saint Simeon “the Ancient” of Mount Sinai	St Simeon the Elder of Mount Sinai	0.75
elsewhere	01-26	Saint Joseph, Bishop of Thessalonica, and brother of Saint Theodore of Studion	07-14  Our Father among the Saints Joseph, Archbishop of Thessalonika (833)	1.0
missing	01-26	Blessed David IV, King of Georgia		0.0
missing	01-26	Saint Theodore of Ajareli		0.0
present	01-26	Saint Paula	Our Holy Mother Paula of Rome (404)	1.0
probable	01-27	Translation of the relics of Saint John Chrysostom, Archbishop of Constantinople	Transl. Relics of St John Chrysostom	0.67
missing	01-27	Saint Clement the Stylite who lived as an ascetic on Mount Ságmata in Boeotia		0.0
missing	01-27	Holy Empress Markianḗ		0.0
missing	01-27	Holy King Askiot of Georgia		0.0
present	01-28	Venerable Ephraim the Syrian	Ven. Ephrem the Syrian	1.0
present	01-28	Venerable Theodosius, Abbot of Totma, Vologda	Theodosius of Totma	1.0
probable	01-28	Venerable Ephraim the Wonderworker, Abbot of Novy Torg	Ven. Ephrem the Syrian	0.33
probable	01-28	Saint Ephraim, Bishop of Pereyaslavl, Kiev Caves, Far Caves	Ven. Ephrem the Syrian	0.33
present	01-28	Venerable Palladius the Hermit, of Antioch	Palladios the Hermit of Antioch	1.0
present	01-28	Saint Isaac the Syrian, Bishop of Nineveh	Our Holy Father Isaac the Syrian, bishop of Nineveh (7th c.)	1.0
missing	01-28	Totemsk-Sumorin Icon of the Mother of God		0.0
missing	01-28	Saints Archilius and Luarsaab		0.0
probable	01-29	Translation of the relics of the Hieromartyr Ignatius, the Godbearer and Bishop of Antioch	Trans. Rel. Ignatius the Godbearer	0.67
present	01-29	Saint Laurence, Recluse of the Kiev Caves, Far Caves, and Bishop of Turov	St Laurence, Recluse of the Kiev Caves	1.0
missing	01-29	Saint Gerasimus, Bishop of Perm		0.0
missing	01-29	Saint Pitirim, Bishop of Perm		0.0
missing	01-29	Saint Jonah, Bishop of Perm		0.0
missing	01-29	Martyrs Romanus, Jacob (James), Philotheus, Hyperechius, Abibus, Julian, and Paregonius, at Samosata		0.0
missing	01-29	Martyr Ashot Curapalati, King of Artanuji		0.0
probable	01-29	Saint Ignatius, Wonderworker and Bishop of Smolensk	Trans. Rel. Ignatius the Godbearer	0.5
missing	01-29	Saint Aphraates of Persia		0.0
missing	01-29	Martyrs Sarbelus and Bebaia of Edessa		0.0
missing	01-29	New Martyr Demetrius		0.0
missing	01-29	Saint Akepsimas the Martyr		0.0
present	01-30	Synaxis of the Ecumenical Teachers and Hierarchs: Basil the Great, Gregory the Theologian, and John Chrysostom	Synaxis 3 Hierarchs: Basil the Great, Gregory the Theologian, John Chrysostom	1.0
elsewhere	01-30	Hieromartyr Hippolytus, and those with him	08-13  Holy Martyr Hippolytus of Rome and 18 Martyrs with him (258)	1.0
elsewhere	01-30	Venerable Zeno the Faster, of the Kiev Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
probable	01-30	Venerable Zeno the Hermit of Antioch, disciple of Saint Basil the Great	Synaxis 3 Hierarchs: Basil the Great, Gregory the Theologian, John Chrysostom	0.2
missing	01-30	Martyr Theophilus the New in Cyprus		0.0
present	01-30	Blessed Peter, King of Bulgaria	Saint Peter, King of Bulgaria (970)	1.0
missing	01-30	Icon of the Mother of God “Tinos”		0.0
missing	01-30	Saint Demetrius, New Martyr of Sliven		0.0
missing	01-30	New Martyr Theodore		0.0
present	01-31	Holy Wonderworkers and Unmercenaries Cyrus and John, and those with them	Unmercenaries Cyrus and John	1.0
present	01-31	Venerable Niketas of the Kiev Caves, Far Caves, Bishop of Novgorod	Venerable Nicetas, hermit of the Kiev Caves and Bishop of Novgorod (1108)	0.8
missing	01-31	Martyrs Victorinus, Victor, Nikēphóros, Claudius, Diodorus, Serapion, and Papias, of Egypt		0.0
missing	01-31	Martyr Tryphaίnē at Cyzicus		0.0
present	01-31	Saint Arsenius of Paros	Our Righteous Father Arsenius of Parus	1.0
missing	01-31	Saint Julius of Aegina		0.0
present	02-01	Sunday of the Publican and the Pharisee Beginning of the Lenten Triodion	Beginning of the Lenten Triodion	1.0
missing	02-01	Forefeast of the Meeting of our Lord in the Temple		0.0
present	02-01	Martyr Tryphon of Lampsacus Near Apamea in Syria	Martyr Tryphon	1.0
present	02-01	Martyrs Perpetua, a woman of Carthage, and the Catechumens: Saturus, Revocatus, Saturninus, Secundulus and Felicitas	Holy Martyrs Perpetua and Felicity, and those with them at Carthage (203)	0.75
missing	02-01	Venerable Peter the Hermit of Galatia Near Antioch, in Syria		0.0
missing	02-01	Venerable Vendemianus the Hermit of Bithynia		0.0
probable	02-01	Venerable Brigid (Bridget) of Ireland	Our Holy Mother Brigid of Kildare (524)	0.5
present	02-01	Saint Tryphon, Bishop of Rostov	Martyr Tryphon	1.0
missing	02-01	Icon of the Mother of God “Socola”		0.0
missing	02-01	Saint Seririol of Wales		0.0
present	02-02	The Meeting of our Lord and Savior Jesus Christ in the Temple	Meeting of Christ in the Temple	1.0
missing	02-03	Afterfeast of the Meeting of our Lord in the Temple		0.0
probable	02-03	Holy, Righteous Simeon the God-Receiver	Righteous Simeon the Godbearer and Anna the Prophetess	0.33
present	02-03	Holy, Righteous Anna the Prophetess	Righteous Simeon the Godbearer and Anna the Prophetess	1.0
missing	02-03	Right-Believing Prince Roman of Uglich		0.0
missing	02-03	Prophet Azariah		0.0
missing	02-03	Martyrs Papias, Diodorus and Claudianus, at Perge in Pamphylia		0.0
missing	02-03	Saint Savva of Ioannina		0.0
missing	02-03	Martyr Adrian at Caesarea, Cappadocia		0.0
missing	02-03	Martyr Eubulus at Caesarea, Cappadocia		0.0
missing	02-03	Martyr Blaise of Caesarea, in Cappadocia		0.0
probable	02-03	Saint Simeon, Bishop of Polotsk and Tver	Righteous Simeon the Godbearer and Anna the Prophetess	0.33
missing	02-03	Saint Jacob, Archbishop of Serbia		0.0
present	02-03	Saint Nicholas, Enlightener of Japan	Our Father among the Saints, Nikolai (Nicholas), Archbishop and Enlightener of Japan (1912)	1.0
missing	02-04	Afterfeast of the Meeting of our Lord in the Temple		0.0
present	02-04	Venerable Isidore of Pelusium	Ven. Isidore of Pelusium	1.0
missing	02-04	Right-believing George the Great Prince of Vladimir		0.0
probable	02-04	Venerable Cyril the Wonderworker, Abbot of Novoezersk, Novgorod	Venerable Cyril of New Lake (Novoezezrsk) (1532)	0.33
missing	02-04	Venerable Abraham and Coprius, of Pechenga		0.0
missing	02-04	Martyr Jadorus		0.0
present	02-04	Hieromartyr Abramius, Bishop of Arbela in Assyria	Hieromartyr Abramius	1.0
present	02-04	Venerable Nicholas the Confessor, Abbot of Studion	Nicholas the Confessor	1.0
missing	02-04	Saint Evagrisi, disciple of Saint Shio		0.0
missing	02-04	Monastic Martyr Anthony of Kareotis		0.0
missing	02-05	Afterfeast of the Meeting of our Lord in the Temple		0.0
present	02-05	Martyr Agatha of Palermo in Sicily	Holy Martyr Agatha of Palermo in Sicily (251)	1.0
present	02-05	Repose of Saint Theodosius of Chernigov	Repose of St Theodosius, Archbishop of Chernigov (1896)	1.0
missing	02-05	Martyr Theodula of Anazarbus, and the Martyrs Helladius, Macarius and Evagrius, in Cilicia		0.0
missing	02-05	Icon of the Mother of God “Seeker of the Perishing”		0.0
missing	02-05	Icon of the Mother of God “Elets-Chernigov”		0.0
missing	02-05	Icon of the Mother of God “Divnogorsk”		0.0
missing	02-06	Afterfeast of the Meeting of our Lord in the Temple		0.0
present	02-06	Saint Bucolus, Bishop of Smyrna	St Bucolus, Bishop of Smyrna	1.0
present	02-06	Saint Photius, Patriarch of Constantinople	St Photios, patriarch of Constantinople (891)	1.0
present	02-06	Venerable Barsanuphius the Great and John the Prophet	Sts Barsanuphius and John the Prophet, monks of Palestine (6th c.)	1.0
missing	02-06	Virgin Martyr Dorothy at Caesarea, in Cappadocia, and those with her		0.0
missing	02-06	Martyr Julian of Emesa		0.0
missing	02-06	Virgin Martyrs Martha and Mary, and their brother Lycarion, in Egypt		0.0
missing	02-06	Saint Arsenius of Iqalto, Georgia		0.0
missing	02-06	Saint Amand, Abbot of Maastricht		0.0
missing	02-07	Afterfeast of the Meeting of our Lord in the Temple		0.0
present	02-07	Saint Parthenios, Bishop of Lampsakos	St Parthenius, Bishop of Lampsacus	1.0
probable	02-07	Venerable Luke of Hellas	Our Venerable Father Luke the New of Mount Stirion (ca. 950)	0.5
