bucket	date	oca_title	best_ours	score
missing	10-10	Icon of the Mother of God “of the Akathist” of Zographou Monastery		0.0
missing	10-10	26 Monastic Martyrs of Zographou Monastery on Mount Athos		0.0
present	10-11	Commemoration of the Holy Fathers of the Seventh Ecumenical Council	Fathers of the Seventh Ecumenical Council	1.0
present	10-11	Venerable Philotheus, Patriarch of Constantinople	Our Holy Father Philotheos Kokkinos,Patriarch of Constantinople (1379)	1.0
present	10-11	Apostle Philip of the Seventy, One of the Seven Deacons	Apostle Philip of the Seventy	1.0
probable	10-11	Saint Theophanes the Confessor and Hymnographer, Bishop of Nicea	Saint Theophanes the Hymnographer (the Branded) (847)	0.67
probable	10-11	Venerable Theophanes the Faster of the Kiev Near Caves	Saint Theophanes the Hymnographer (the Branded) (847)	0.33
missing	10-11	Venerable Leonid of Optina		0.0
missing	10-11	Synaxis of the Venerable Fathers of Optina		0.0
missing	10-11	Virgin Martyrs Zenaΐda and Philonίlla, of Tarsus in Cilicia		0.0
elsewhere	10-11	Commemoration of the Miracle of the Icon of Our Lord Jesus Christ in Beret	01-01  The Circumcision of Our Lord Jesus Christ	0.75
present	10-11	Venerable Ethelburga	Ethelburga, Abbess of Barking	1.0
present	10-12	Martyrs Probus, Tarachus, and Andronicus, at Tarsus in Cilicia	Martyrs Probus, Tarachus and Andronicus	1.0
elsewhere	10-12	Saint Cosmas the Hymnographer, Bishop of Maiuma	10-14  Saint Cosmas the Hymnographer (8th c.)	1.0
missing	10-12	Venerable Amphilochius, Abbot of Glushetsa		0.0
missing	10-12	Martyr Domnina of Anazarbus		0.0
elsewhere	10-12	Saint Martin the Merciful, Bishop of Tours	11-12  Our Father among the Saints Martin, Bishop of Tours (397)	1.0
missing	10-12	“Jerusalem” Icon of the Mother of God		0.0
missing	10-12	Saint Edwin, King and Martyr		0.0
missing	10-12	Icon of the Mother of God of Rudens		0.0
missing	10-12	Translation from Malta to Gatchina: of a Particle of the Life Giving Cross, the Filersk Icon of the Mother of God, and the relic of the Right Hand of John the Baptist		0.0
missing	10-12	New Martyr John, Archbishop of Riga and Latvia		0.0
missing	10-12	Saint Tarasius of Glushetsa		0.0
missing	10-12	Saint Macarius, Abbot of Glushetsa		0.0
missing	10-12	Icon of the Mother of God of Yaroslav-Smolensk		0.0
missing	10-12	Icon of the Mother of God of Kaluga		0.0
probable	10-13	Martyrs Carpus, Papylus, Agathadorus, and Agathonica, at Pergamum	Martyrs Carpus, Papylus, Agathodorus and Agathonica, at Pergamus	0.6
probable	10-13	Venerable Benjamin of the Kiev Caves	Benjamin the Deacon	0.5
present	10-13	Martyr Florentius of Thessalonica	Florentios the Martyr of Thessaloniki	1.0
present	10-13	Martyr Benjamin the Deacon of Persia	Benjamin the Deacon	1.0
missing	10-13	Saint Nikḗtas the Confessor of Paphlagonia		0.0
probable	10-13	New Martyr Zlata of Meglena, Bulgaria	Holy Martyr Zlata (Chryse) (1796)	0.5
missing	10-13	Translation of the Ivḗron Icon of the Mother of God to Moscow		0.0
missing	10-13	“Seven Lakes” Icon of the Mother of God		0.0
missing	10-13	Saint Anthony, Metropolitan of Chqondidi, and Saint Jacob, Elder of Chqondidi		0.0
present	10-14	Martyrs Gervasius, Nazarius, Protasius, and Celsus of Milan	Holy Martyrs Nazarius, Gervasius, Protasius, and Celsus of Milan (1st c.)	1.0
probable	10-14	Venerable Paraskevi (Petka) of Serbia	Ven. Parasceva of Serbia	0.67
present	10-14	Venerable Nicholas Sviatosha Prince of Chernigov, and Wonderworker of the Kiev Near Caves	Saint Nicholas the Pious (Sviatosha), Prince of Chernigov (1143)	0.8
missing	10-14	Hieromartyr Silvanus of Gaza		0.0
missing	10-14	Icon of the Mother of God of Yakhrom		0.0
probable	10-15	Venerable Euthymius the New of Thessalonica, and Monk of Mount Athos	Ven. Euthymius the New of Thessalonica	0.67
present	10-15	Martyr Lucian the Presbyter of Antioch	Holy Hieromartyr Lucian, Presbyter of the Church of Antioch (312)	1.0
missing	10-15	Saint John, Bishop of Suzdal		0.0
probable	10-15	Hieromartyr Lucian the Presbyter of the Kiev Caves	Holy Hieromartyr Lucian, Presbyter of the Church of Antioch (312)	0.5
missing	10-15	Martyrs Sarbelius and Bebaia of Edessa		0.0
present	10-15	Saint Sabinus, Bishop of Catania	Savinos the Bishop of Catania	1.0
missing	10-15	“Multiplier of Wheat” Icon of the Mother of God		0.0
present	10-16	Martyr Longinus the Centurion, who stood at the Cross of the Lord	Martyr Longinus the Centurion	1.0
probable	10-16	Venerable Longinus the Gatekeeper of the Kiev Caves	Martyr Longinus the Centurion	0.5
probable	10-16	Venerable Longinus of Yarenga	Martyr Longinus the Centurion	0.5
probable	10-16	Martyr Longinus of Asistavi	Martyr Longinus the Centurion	0.5
missing	10-16	Saint Eupraxia, Princess of Pskov		0.0
missing	10-16	Saint Domna of Tomsk		0.0
present	10-17	Prophet Hosea	Prophet Hosea	1.0
present	10-17	Monastic Martyr Andrew of Crete	Monastic Martyr Andrew of Crete	1.0
missing	10-17	Venerable Anthony, Abbot of Leokhnov, Novgorod		0.0
present	10-17	Martyrs and Unmercenaries Cosmas and Damian in Cilicia, and their brothers, Leontius, Anthimus, and Eutropius	Holy Martyrs Cosmas and Damian, the Unmercenaries of Cilicia (4th c.)	1.0
missing	10-17	Translation of the relics of Saint Lazarus “of the Four Days in the Tomb”, Bishop of Kiteia, Cyprus		0.0
probable	10-17	“A Virgin Before and After Giving Birth” Icon of the Mother of God	Saturday of the 20th week after Pentecost	0.25
missing	10-17	“Deliverer” Icon of the Mother of God		0.0
missing	10-17	Saint Joseph, Catholicos of Georgia		0.0
missing	10-17	Martyr Kozman		0.0
missing	10-17	Martyr Susanna, Queen of Georgia		0.0
present	10-18	Apostle and Evangelist Luke	Holy Apostle and Evangelist Luke	1.0
present	10-18	Martyr Marinus the Elder at Anazarbus	Marinos the Martyr	1.0
missing	10-18	Venerable Julian the Hermit of Mesopotamia		0.0
missing	10-18	Venerable Joseph the Wonderworker, Igumen of Volokolamsk		0.0
missing	10-18	Saint James the Deacon		0.0
missing	10-18	Saint Peter of Cetinje		0.0
missing	10-18	Saint David of Serpukhov		0.0
missing	10-18	"""Machairotissa"" Icon of the Mother of God"		0.0
present	10-19	Prophet Joel	Prophet Joel	1.0
present	10-19	Martyr Varus, and seven Monastic Martyrs with him	Holy Martyr Varus and those with him (304)	1.0
probable	10-19	Translation of the relics of Venerable John, Abbot of Rila, Bulgaria	Relics Ven. John of Rila	0.67
probable	10-19	Blessed Cleopatra with her son John, in Egypt	Righteous John, Wonderworker of Kronstadt (1908).	0.5
probable	10-19	Hieromartyr Sadoc (Sadoth), Bishop of Persia, and 128 Martyrs with him	Holy Martyr Varus and those with him (304)	0.5
missing	10-19	Venerable Prochorus of Pcinja		0.0
present	10-20	Greatmartyr Artemius at Antioch	Greatmartyr Artemius at Antioch	1.0
probable	10-20	Righteous Child Artemius of Verkola	Greatmartyr Artemius at Antioch	0.5
present	10-20	Venerable Gerasimus the New Ascetic of Cephalonia	St Gerasimus the New, ascetic of Cephalonia (1579)	1.0
present	10-20	Venerable Matrona of Chios	Ven. Matrona of Chios	1.0
missing	10-20	Icon of the Mother of God of Filersk		0.0
missing	10-20	The Uncovering of the Relics of the Hieromartyr Νikόdēmos, Bishop of Belgorod		0.0
present	10-21	Venerable Hilarion the Great	Ven. Hilarion the Great	1.0
probable	10-21	Translation of the relics of Saint Hilarion, Bishop of Meglin in Bulgaria	Ven. Hilarion the Great	0.5
probable	10-21	Venerable Hilarion the Schemamonk of the Kiev Caves	Ven. Hilarion the Great	0.5
probable	10-21	Venerable Hilarion, Abbot of Gdov and Pskov Lake	Ven. Hilarion the Great	0.5
missing	10-21	Venerable Theophilus and Jacob, Abbots of Omutch, Pskov		0.0
missing	10-21	Martyrs Gaius, Dasius, and Zoticus at Nicomedia		0.0
present	10-21	Venerable Philotheus of Dionysiou of Mount Athos	Righteous Philotheus	1.0
missing	10-21	Venerable Bessarion Sarai the Confessor in Romania		0.0
missing	10-21	Saint Sophronius, Confessor of Ciorara, Romania		0.0
missing	10-21	Martyr Oprea of Salistie in Romania		0.0
probable	10-21	Saint Hilarion, Metropolitan of Kiev	Ven. Hilarion the Great	0.5
missing	10-21	Martyr Moses (Macinic) the Confessor		0.0
probable	10-21	Saint John of Galesh	Holy New Martyr John of Monembasia (1773)	0.5
present	10-21	New Martyr John of Monemvasia	Holy New Martyr John of Monembasia (1773)	1.0
present	10-22	Saint Averkios the Wonderworker, Bishop of Hieropolis, Equal of the Apostles	St Abercius, Equal-to-the-Apostles	1.0
present	10-22	7 Holy Youths “Seven Sleepers” of Ephesus	Holy Seven Youths of Ephesus	1.0
missing	10-22	Hieromartyr Alexander, Bishop of Adrianopolis, and the Martyrs Heraclius, Anna, Elizabeth, Theodota, and Glyceria		0.0
missing	10-22	Commemoration of the Kazan Icon of the Mother of God and the deliverance from the Poles		0.0
missing	10-22	Icon of the Mother of God of Andronicus		0.0
missing	10-22	Saints Paul and Theodore of Rostov		0.0
present	10-22	Venerable Lot of Egypt	Venerable Lot of Egypt (5th c.)	1.0
present	10-23	Saint Macarius the Roman of Mesopotamia	Saint Macarius the Roman of Mesopotamia (?)	1.0
present	10-23	Apostle James, the Brother of the Lord	Holy Apostle James, Brother of the Lord	1.0
probable	10-23	Translation of the relics of Blessed James of Borovichi, Wonderworker of Novgorod	Holy Apostle James, Brother of the Lord	0.33
present	10-23	Saint Ignatius, Patriarch of Constantinople	Our Righteous Father Ignatius, Patriarch of Constantinople	1.0
missing	10-23	Venerable Elisha of Lavreshev		0.0
present	10-24	Memorial Saturday of Saint Demetrius	Memorial (Demetrius) Saturday	1.0
probable	10-24	Martyr Arethas and 4,299 Martyrs with him	Martyr Arethas and Companions	0.5
probable	10-24	Venerable Arethus the Recluse of the Kiev Near Caves	Martyr Arethas and Companions	0.5
elsewhere	10-24	Venerable Sisoes the Recluse of the Kiev Near Caves	01-29  St Laurence, Recluse of the Kiev Caves	0.75
elsewhere	10-24	Venerable Theophilus the Recluse of the Kiev Near Caves	01-29  St Laurence, Recluse of the Kiev Caves	0.75
missing	10-24	Blessed Elesbaan, King of Ethiopia		0.0
missing	10-24	Martyr Syncletica and her two daughters		0.0
missing	10-24	Saint Athanasius, Patriarch of Constantinople		0.0
missing	10-24	“Joy of All Who Sorrow” Icon of the Mother of God		0.0
elsewhere	10-24	Saint John, Hermit of Pskov	03-29  Our Holy Father John the Hermit (4th c.)	1.0
present	10-25	Martyrs Marcian and Martyrius, the Notaries of Constantinople	Martyrs Marcian and Martyrius the Notaries	1.0
probable	10-25	Venerable Martyrius the Deacon, Recluse of the Kiev Caves	Martyrs Marcian and Martyrius the Notaries	0.33
missing	10-25	Martyr Anastasius the Fuller at Salona in Dalmatia		0.0
probable	10-25	Saint Tabitha the Widow, raised from the dead by the Apostle Peter	St Tabitha of Joppa	0.5
present	10-26	Holy, Glorious Demetrios the Myrrh-gusher of Thessaloniki	Greatmartyr Demetrius	1.0
elsewhere	10-26	Commemoration of the Great Earthquake at Constantinople	09-25  Commemoration of the Great Earthquake at Constantinople (447) and the Miracle of the Trisagion	1.0
elsewhere	10-26	Saint Theophilus of the Kiev Caves, Bishop of Novgorod	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	10-26	Martyr Lupus		0.0
missing	10-26	Venerable Athanasius of Medikion Monastery		0.0
missing	10-26	Monastic Martyr Joseph of Dionysiou, Mount Athos		0.0
present	10-26	Saint Demetrius of Tsilibinsk	Greatmartyr Demetrius	1.0
missing	10-27	Righteous Mother Olga of Kwethluk–Tanqilria Arrsamquq–Wonderworker, Matushka of All Alaska		0.0
present	10-27	Martyr Nestor of Thessalonica	Martyr Nestor of Thessalonica	1.0
probable	10-27	Venerable Nestor the Chronicler of the Kiev Caves	Martyr Nestor of Thessalonica	0.5
missing	10-27	Uncovering of the relics of Saint Andrew, Prince of Smolensk		0.0
missing	10-27	Martyrs Capitolina and Eroteis of Cappadocia		0.0
missing	10-27	Saint Claudia Procula		0.0
missing	10-27	Martyrs Mark, Soterikhos, and Valentine		0.0
missing	10-27	“The Sign” Icon of the Mother of God		0.0
present	10-27	Saint Demetrius of Basarabov	Our Venerable Father Demetrius of Basarabov (Romania) (13th c.)	1.0
probable	10-27	Saint Nestor (not the Chronicler) of the Far Kiev Caves	Martyr Nestor of Thessalonica	0.5
missing	10-27	Hierarch Alexander, Bishop of Guria and Samegrelo		0.0
elsewhere	10-28	Venerable Stephen the Hymnographer of Saint Savva Monastery	07-13  Stephen of Mar Sabbas Monastery	0.75
present	10-28	Repose of Saint Arsenius, Archbishop of Serbia	St Arsenius of Serbia	1.0
missing	10-28	Greatmartyr Paraskevi of Iconium		0.0
present	10-28	Repose of Venerable Job the Wonderworker, Abbot of Pochaev	Rep. Ven. Job of Pochaev	1.0
present	10-28	Saint Demetrius (Dimitri), Metropolitan of Rostov	St Dimitri (Demetrius) of Rostov (1709)	1.0
probable	10-28	Martyrs Africanus, Terence, Maximus, Pompeius, and 36 others, of Carthage	Martyrs Terence, Neonila and Children	0.33
present	10-28	Martyrs Terence and Neonila, and their children	Martyrs Terence, Neonila and Children	1.0
present	10-28	Hieromartyr Cyriacus, Patriarch of Jerusalem	Holy Hieromartyr Cyriacus, Bishop of Jerusalem, and his mother Anna (4th c.)	1.0
elsewhere	10-28	Venerable John the Chozebite	10-03  St John the Chozebite, Bishop of Caesarea	1.0
missing	10-28	Martyr Neophytus of Urbin, Georgia		0.0
missing	10-28	Venerable Athanasius the Younger, Patriarch of Constantinople		0.0
probable	10-28	Saint Arsenius of Cappadocia	St Arsenius of Serbia	0.5
probable	10-29	Monastic Martyr Anastasia of Rome	Martyr Anastasia the Roman	0.5
present	10-29	Venerable Abramius the Recluse, and his niece, Blessed Mary, of Mesopotamia	Our Holy Father Abramius (366) and his niece Mary (371) of Mesopotamia	1.0
probable	10-29	Venerable Abramius, Archimandrite of Rostov	Ven. Avram of Rostov	0.67
missing	10-29	Martyr Claudius, Asterius, Neon, and Theonilla of Aegæ in Cilicia		0.0
missing	10-29	Righteous Anna of Constantinople		0.0
missing	10-29	Monastic Martyr Timothy of Esphigmenou, Mount Athos		0.0
missing	10-29	Saint Serapion of Zarzma		0.0
missing	10-29	Saint Melitina		0.0
present	10-30	Hieromartyr Zenobios and his sister Zenobia, of Aegæ in Cilicia	Hieromartyr Zenobius and His Sister Zenobia	1.0
elsewhere	10-30	Apostle Tertius of the Seventy	11-10  Apostles of the 70 Erastus, Olympas, Herodion, Sosipater, Quartus, Tertius	1.0
elsewhere	10-30	Apostle Mark of the Seventy	09-27  Holy Apostles Mark, Aristarchus and Zenas of the Seventy	1.0
missing	10-30	Apostle Justus of the Seventy		0.0
missing	10-30	Apostle Artemas of the Seventy		0.0
missing	10-30	Hieromartyr Marcian, Bishop of Syracuse		0.0
missing	10-30	Martyr Eutropia of Alexandria		0.0
elsewhere	10-30	Martyr Anastasia of Thessalonica	04-04  Theonas, Archbishop of Thessaloniki, Founder and Renovator of the Sacred Monastery of Saint Anastasia of Pharmakolytria, Halkidiki	1.0
missing	10-30	Saint Stephen Milutin of Serbia		0.0
missing	10-30	Venerable Dragutin (Theoctistus in Monasticism) of Serbia		0.0
missing	10-30	Saint Helen of Serbia		0.0
missing	10-30	Ozeryana Icon of the Mother of God		0.0
missing	10-30	Saint Jotham Zedgenidze		0.0
probable	10-31	Priestmartyr John Kochurov	Hieromartyr John Kochurov, Protopresbyter of Chicago and Tsarskoye Selo (1917)	0.67
present	10-31	Holy Apostles Stakhys, Apelles, Amplias, Urban, and Narcissus of the 70	Holy Apostles Stachys, Apelles, Amplias, Urban, Narcissus and Aristobolus.	1.0
elsewhere	10-31	Apostle Aristobulus of the Seventy	03-16  Holy Apostle Aristobulus of the Seventy, first Bishop of Britain (1st c.)	1.0
missing	10-31	Apostle Epίmakhos of Alexandria		0.0
elsewhere	10-31	Venerable Spyridon and Νikόdēmos the Prosphora-bakers, of the Kiev Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	10-31	Venerable Maura of Constantinople		0.0
missing	10-31	100,000 Martyrs of Tbilisi by the Mongols		0.0
present	11-01	Holy Wonderworkers and Unmercenaries Cosmas and Damian of Mesopotamia	Unmercenaries and Wonderworkers Cosmas and Damian	1.0
present	11-01	Saint Theodota, mother of the Unmercenaries Cosmas and Damian	St Theodota, Mother of Cosmas and Damian	1.0
elsewhere	11-01	Hieromartyrs John the Bishop and Jacob (James) the Presbyter, of Persia	11-27  Greatmartyr Jacob of Persia	0.75
missing	11-01	Martyrs Kyriaina and Juliana in Cilicia		0.0
missing	11-01	Martyr Hermenegild the Goth of Spain		0.0
missing	11-01	Martyrs Cæsarius, Dacius, Savva, Sabinian, Agrippa, Adrian, and Thomas, at Damascus		0.0
missing	11-01	Monastic Martyrs James and his two disciples, James the Deacon, and Dionysios the Monk		0.0
present	11-01	Virgin Martyr Helen of Sinope	Holy New Martyr Helen of Sinope (18th c.)	1.0
present	11-02	Martyrs Acindynus, Pegasius, Aphthonius, Elpidephorus, Anempodistus, and 7,000 with them, of Persia	Martyrs Acindynus, Pegasius, Aphthonius, Elpidophorus, and Anempodistus of Persia	0.83
missing	11-02	Saint Marcian of Cyrrhus		0.0
missing	11-02	“Ozerianka” Icon of the Mother of God of Shuiu-Smolensk		0.0
probable	11-03	Hieromartyrs Akepsimas, Bishop in Persia, Presbyter Joseph, and Deacon Aeithalas	Martyrs Acepsimus, Joseph, Aithalas	0.67
missing	11-03	Consecration of the Church of the Holy Great Martyr George in Lydda		0.0
missing	11-03	Martyrs Eudoxios, Agapios, Atticus, and those with them, at Sebaste		0.0
probable	11-03	Venerable Akepsimas the Hermit of Cyrrhus in Syria	Martyrs Acepsimus, Joseph, Aithalas	0.33
missing	11-03	Saint Snandulia of Persia		0.0
missing	11-03	Venerable Pimen the Bulgarian of the Zographou Monastery, Mount Athos		0.0
missing	11-03	Princess Anna Vsevolodna		0.0
missing	11-03	Venerable Nicholas, Radiant Star of the Georgians		0.0
present	11-03	Saint Akepsimas	Martyrs Acepsimus, Joseph, Aithalas	1.0
missing	11-04	Hieromartyr Seraphim (Samoilovich), Archbishop of Uglich		0.0
present	11-04	Venerable Joannicius the Great	Ven. Joannicus the Great	1.0
present	11-04	Hieromartyrs Nicander, Bishop of Myra, and Hermas, the Presbyter	The Holy Hieromartyrs Nicander, Bishop of Myra, and Hermias the Presbyter	0.75
elsewhere	11-04	Venerable Mercurius the Faster of the Kiev Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
probable	11-04	Venerable Nicander, Abbot of Gorodensk, Novgorod	The Holy Hieromartyrs Nicander, Bishop of Myra, and Hermias the Presbyter	0.33
missing	11-04	Saints John, Stephen, and Isaiah of Georgia		0.0
missing	11-04	Blessed Simon of Yurievets		0.0
missing	11-04	Venerable Gabriel of Atonelni		0.0
probable	11-05	Martyrs Galaction and his wife, Epistemis, at Emesa	Martyrs Galacteon and Wife Epistemis	0.67
present	11-05	Repose of Saint Jonah, Archbishop of Novgorod	Repose St Jonah of Novgorod	1.0
present	11-05	Apostles Patrobus, Hermes, Linus, Gaius, and Philologus, of the Seventy	Holy Apostles Patrobas, Hermas, Linus, Gaius and Philologus	1.0
present	11-05	Saint Gregory, Archbishop of Alexandria	Our Holy Father Gregory the Confessor, Patriarch of Alexandria (early 9th c.)	1.0
present	11-06	Saint Paul the Confessor, Archbishop of Constantinople	St Paul the Confessor of Constantinople	1.0
missing	11-06	Venerable Barlaam, Abbot of Khutyn, Novgorod		0.0
probable	11-06	Venerable Luke the Steward of the Kiev Caves	Ven. Luke of Sicily (Taormina)	0.25
present	11-06	Repose of Saint Herman, Archbishop of Kazan	Rep. St Herman, Archbishop of Kazan	1.0
missing	11-06	Venerable Barlaam of Keret Lake		0.0
missing	11-06	Martyrs Tecusa, Alexandra, Claudia, Matrona, Polactia, Euphrosynē, and Athanasia, of Ancyra		0.0
present	11-06	Venerable Luke of Sicily	Ven. Luke of Sicily (Taormina)	1.0
missing	11-06	Holy Virgin Martyr Manatho		0.0
missing	11-07	33 Holy Martyrs of Melitene		0.0
present	11-07	Venerable Lazarus, Wonderworker of Mount Galesius Near Ephesus	Lazarus the Wonderworker	1.0
missing	11-07	The Discovery of the Relics of Venerable Zosimas, Abbot of Vorbozomsk		0.0
missing	11-07	Finding of the relics of Venerable Cyril, Abbot of Novoezersk, Vologda		0.0
missing	11-07	Martyrs Melasippus, Karina, their son, Antoninus, and forty children converted by their martyrdom, at Ancyra		0.0
missing	11-07	Martyrs Auctus, Taurion, and Thessalonica, at Amphipolis, in Macedonia		0.0
missing	11-07	“Joyful” Icon of the Mother of God		0.0
elsewhere	11-07	Martyr Theodotus of Ancyra	05-18  Martyr Theodotus of Ancyra	1.0
present	11-08	Synaxis of the Archangel Michael and the Other Bodiless Powers	Synaxis of Archangel Michael and the Bodiless Powers	1.0
missing	11-08	Saint Alexander of Guria		0.0
present	11-09	Martyrs Onesiphorus and Porphyrius of Ephesus	Martyrs Onesiphorus and Porphyrius	1.0
present	11-09	Venerable Matrona, Abbess of Constantinople	Our Holy Mother Matrona (492)	1.0
missing	11-09	Venerable Theoktίstē of the Isle of Lesbos		0.0
probable	11-09	Venerable Onesiphorus the Confessor of the Kiev Near Caves	Martyrs Onesiphorus and Porphyrius	0.5
elsewhere	11-09	Martyr Alexander of Thessalonica	05-26  Holy New Martyr Alexander of Thessalonica (1794)	1.0
missing	11-09	Martyr Anthony of Apamea		0.0
probable	11-09	Venerable John the Short, of Egypt	Our Venerable Father John the Dwarf (John the Short) (4th c.)	0.67
missing	11-09	Saint Eustolia of Constantinople		0.0
missing	11-09	Saint Sopatra of Constantinople		0.0
probable	11-09	Saint Nectarius Kephalas, Metropolitan of Pentapolis	Our Father among the Saints Nectarius (Nektarios), bishop of Pentapolis, Wonderworker, and founder of the Monastery of the Holy Trinity on Aegina (1920).	0.5
probable	11-09	Venerable Euthymius, founder of Dochiariou Monastery (Mount Athos—10th c.), and Venerable Neophytus, Co-founder of the Monastery	Our Father among the Saints Nectarius (Nektarios), bishop of Pentapolis, Wonderworker, and founder of the Monastery of the Holy Trinity on Aegina (1920).	0.33
missing	11-09	“Quick to Hear” Icon of the Mother of God		0.0
present	11-10	Apostles of the Seventy: Erastus, Olympas, Herodion, Sosipater, Quartus, and Tertius	Apostles of the 70 Erastus, Olympas, Herodion, Sosipater, Quartus, Tertius	1.0
missing	11-10	Martyr Orestes, Physician of Cappadocia		0.0
missing	11-10	Hieromartyr Mίlos (or Milēs) the Wonderworker, and two disciples		0.0
probable	11-10	Venerable Theocteristus, Abbot of Symbola on Mount Olympus, Bithynia	Apostles of the 70 Erastus, Olympas, Herodion, Sosipater, Quartus, Tertius	0.2
missing	11-10	Martyr Constantine, King of Georgia		0.0
missing	11-10	Martyrdom of the Great-martyr George of Georgia		0.0
missing	11-10	Founding of the Church of Saint George		0.0
probable	11-11	Martyr Menas of Egypt	Martyrs Menas, Victor and Vincent	0.5
probable	11-11	Martyr Victor at Damascus	Martyrs Menas, Victor and Vincent	0.5
probable	11-11	Martyr Vincent of Spain	Martyrs Menas, Victor and Vincent	0.5
missing	11-11	Martyr Stephanida of Damascus		0.0
probable	11-11	Venerable Theodore the Confessor, Abbot of the Studion	Our Righteous Father Theodore the Studite (826)	0.5
missing	11-11	Repose of the Blessed Maximus of Moscow		0.0
missing	11-11	Venerable Martyrius, Abbot of Zelenets, Pskov		0.0
missing	11-11	Repose of Saint Stephen of Dečani, Serbia		0.0
elsewhere	11-11	Saint Martin the Merciful, Bishop of Tours	11-12  Our Father among the Saints Martin, Bishop of Tours (397)	1.0
missing	11-12	Saint Varnava (Nastic)		0.0
present	11-12	Saint John the Merciful, Patriarch of Alexandria	St John the Merciful, Patriarch of Alexandria	1.0
present	11-12	Venerable Neilos the Ascetic of Sinai	Our Holy Father Nilus the Ascetic of Sinai (430)	1.0
probable	11-12	Blessed John “the Hairy” and Fool-For-Christ at Rostov	St John the Merciful, Patriarch of Alexandria	0.33
missing	11-12	Prophet Ahijah		0.0
probable	11-12	Venerable Nilus the Myrrhgusher of Mount Athos	St Nilus the Myrrh-Gusher of Mt Athos (1651)	0.5
probable	11-12	“All-Merciful Kykkiotisa” Icon of the Mother of God	St John the Merciful, Patriarch of Alexandria	0.33
present	11-13	Saint John Chrysostom, Archbishop of Constantinople	St John Chrysostom, Archbishop of Constantinople	1.0
missing	11-13	Martyrs Nikephoros, Antoninus, and Germanus of Caesarea, in Palestine		0.0
missing	11-13	Martyr Manetha of Cæsarea in Palestine		0.0
missing	11-13	Monastic Martyr Damascene of the Lavra		0.0
missing	11-13	Stockholm Icon of the Mother of God		0.0
present	11-14	Holy, All-Praised Apostle Philip	Holy Apostle Philip	1.0
present	11-14	Saint Philip, Abbot of Irap Near Novgorod	Holy Apostle Philip	1.0
present	11-14	Saint Justinian the Emperor	Pious Emperor Justinian and His Wife Theodora (565)	1.0
probable	11-14	Saint Theodora the Empress	Pious Emperor Justinian and His Wife Theodora (565)	0.5
present	11-14	Saint Gregory Palamas, Archbishop of Thessalonica	St Gregory Palamas (1359)	1.0
missing	11-14	New Hieromartyr Demetrius (Benevolenskii) of Tver		0.0
present	11-14	New Martyr Constantine of Hydra	Holy Great New Martyr Constantine of Hydra	1.0
present	11-15	Holy Martyrs and Confessors Gurias, Samonas, and Habibus, of Edessa	Guria, Shamuna, and Habib, Martyrs and Confessors of Edessa	0.8
missing	11-15	Martyrs Elpidius, Marcellus, and Eustochius, who suffered under Julian the Apostate		0.0
missing	11-15	Martyr Dēmḗtrios of Thrace		0.0
present	11-15	Venerable Paisios Velichkovsky	Our Venerable Father Paisius Velichkovsky (1794)	1.0
missing	11-15	Kupyatitsa Icon of the Mother of God		0.0
missing	11-15	Saint Philip of Rabanga		0.0
missing	11-15	“Fragrant Flower” Icon of the Mother of God		0.0
present	11-16	Apostle and Evangelist Matthew	Holy Apostle and Evangelist Mathew	1.0
probable	11-16	Saint Fulvian (in Baptism Matthew), Prince of Ethiopia	Holy Apostle and Evangelist Mathew	0.5
missing	11-16	Saint Sergius of Malopinega		0.0
elsewhere	11-16	Saint Hypatius of Gangra	03-31  Hieromartyr Hypatius, Bishop of Gangra (326)	1.0
present	11-17	Saint Gregory, Wonderworker of Neocaesarea	St Gregory the Wonderworker	1.0
probable	11-17	Venerable Nikon, Abbot of Radonezh, disciple of Venerable Sergius	Ven. Nikon of Radonezh	0.67
missing	11-17	Venerable Lazarus the Iconographer, of Constantinople		0.0
missing	11-17	Martyr Gobron (Michael) and 133 soldiers, of Georgia		0.0
missing	11-17	Venerable Gennadius of Vatopedi, Mount Athos		0.0
probable	11-18	Martyr Platon of Ancyra	Martyrs Platon and Roman	0.5
probable	11-18	Martyr Romanus the Deacon of Caesarea	Martyrs Platon and Roman	0.5
missing	11-18	Martyr Barulas the Youth of Caesarea		0.0
present	11-18	New Martyr Anastasius of Epirus	Holy New Martyr Anastasius of Epirus (1750), and Daniel, whom he converted	1.0
present	11-18	Martyrs Zacchaeus the Deacon, and Alphaeus, of Caesarea in Palestine	Zaccheus the Deacon	1.0
present	11-19	Prophet Obadiah (Abdia)	Prophet Obadiah	1.0
probable	11-19	Martyr Barlaam of Caesarea, in Cappadocia	Holy Martyr Barlaam of Antioch (304)	0.5
probable	11-19	Venerable Barlaam, Abbot of the Kiev Near Caves	Holy Martyr Barlaam of Antioch (304)	0.5
missing	11-19	Finding of the relics of Monastic Martyr Adrian of Poshekhonsk, Yaroslavl		0.0
missing	11-19	Martyr Azes of Isauria and 150 soldiers with him		0.0
present	11-19	Martyr Heliodorus in Pamphylia	Martyr Heliodorus	1.0
missing	11-19	Venerable Hilarion the Wonderworker, Monk of Thessalonica		0.0
